year,real,90% a,110% a,90% b,110% b,90% c,110% c
2010,64.21677780532737,63.17547474975048,65.25808086090424,61.764642945809,66.6689126648457,61.288537939889856,67.14501767076487
2011,100.36938420129819,98.67720433944143,102.06156406315498,96.96855788294363,103.77021051965278,95.42545196137972,105.31331644121668
2012,101.35667148040936,99.69618552913688,103.01715743168182,98.22715711785499,104.48618584296375,96.01100464619527,106.70233831462345
2013,65.78531005760573,64.77299390153766,66.7976262136738,63.72414696985582,67.84647314535563,62.28025829566312,69.29036181954834
2014,26.478224738098792,26.08146369673136,26.87498577946622,25.668814712337422,27.28763476386015,25.036573331417703,27.919876144779874
2015,21.267159775691816,20.92901936584756,21.605300185536077,20.650448623776047,21.88387092760759,20.095295359882662,22.439024191500977
2016,62.2914421393192,61.31924336344892,63.263640915189484,60.12942557729102,64.45345870134737,59.19651326328573,65.38637101535268
