year,loc_x,loc_y,estm_count
3,-83.1152,36.6871,38
4,-83.1152,36.6871,50
5,-83.1152,36.6871,80
6,-83.1152,36.6871,198
7,-83.1152,36.6871,56
0,-79.2895,37.2338,14
1,-79.2895,37.2338,18
2,-79.2895,37.2338,28
3,-79.2895,37.2338,31
4,-79.2895,37.2338,44
5,-79.2895,37.2338,56
6,-79.2895,37.2338,60
7,-79.2895,37.2338,23
0,-82.7962,36.7196,136
1,-82.7962,36.7196,127
2,-82.7962,36.7196,144
3,-82.7962,36.7196,155
4,-82.7962,36.7196,219
5,-82.7962,36.7196,207
6,-82.7962,36.7196,254
7,-82.7962,36.7196,168
0,-77.7219,36.9853,27
1,-77.7219,36.9853,9
2,-77.7219,36.9853,7
3,-77.7219,36.9853,6
4,-77.7219,36.9853,7
5,-77.7219,36.9853,8
6,-77.7219,36.9853,8
7,-77.7219,36.9853,25
0,-80.6997,36.6771,98
1,-80.6997,36.6771,17
2,-80.6997,36.6771,34
3,-80.6997,36.6771,184
4,-80.6997,36.6771,35
5,-80.6997,36.6771,15
6,-80.6997,36.6771,31
7,-80.6997,36.6771,108
0,-75.7182,37.6917,9
1,-75.7182,37.6917,86
2,-75.7182,37.6917,32
3,-75.7182,37.6917,8
4,-75.7182,37.6917,19
5,-75.7182,37.6917,5
6,-75.7182,37.6917,43
7,-75.7182,37.6917,78
0,-75.8283,37.5295,4
1,-75.8283,37.5295,2
2,-75.8283,37.5295,1
3,-75.8283,37.5295,2
4,-75.8283,37.5295,4
5,-75.8283,37.5295,9
6,-75.8283,37.5295,17
7,-75.8283,37.5295,12
0,-78.1283,36.9608,36
1,-78.1283,36.9608,12
2,-78.1283,36.9608,14
3,-78.1283,36.9608,6
4,-78.1283,36.9608,9
5,-78.1283,36.9608,8
6,-78.1283,36.9608,0
7,-78.1283,36.9608,28
0,-76.538,37.7301,5
1,-76.538,37.7301,4
2,-76.538,37.7301,3
3,-76.538,37.7301,8
4,-76.538,37.7301,6
5,-76.538,37.7301,5
6,-76.538,37.7301,6
7,-76.538,37.7301,7
0,-78.6333,37.494,70
1,-78.6333,37.494,64
2,-78.6333,37.494,71
3,-78.6333,37.494,75
4,-78.6333,37.494,62
5,-78.6333,37.494,70
6,-78.6333,37.494,70
7,-78.6333,37.494,135
0,-79.7872,36.6871,63
1,-79.7872,36.6871,57
2,-79.7872,36.6871,50
3,-79.7872,36.6871,38
4,-79.7872,36.6871,51
5,-79.7872,36.6871,49
6,-79.7872,36.6871,67
7,-79.7872,36.6871,81
0,-77.8267,38.416,109
1,-77.8267,38.416,110
2,-77.8267,38.416,127
3,-77.8267,38.416,127
4,-77.8267,38.416,135
5,-77.8267,38.416,137
6,-77.8267,38.416,197
7,-77.8267,38.416,181
0,-78.1745,39.1734,128
1,-78.1745,39.1734,40
2,-78.1745,39.1734,21
3,-78.1745,39.1734,27
4,-78.1745,39.1734,31
5,-78.1745,39.1734,120
6,-78.1745,39.1734,40
7,-78.1745,39.1734,20
0,-78.1125,38.2484,78
1,-78.1125,38.2484,52
2,-78.1125,38.2484,23
3,-78.1125,38.2484,22
4,-78.1125,38.2484,19
5,-78.1125,38.2484,55
6,-78.1125,38.2484,76
7,-78.1125,38.2484,147
0,-77.6492,37.506,175
1,-77.6492,37.506,236
2,-77.6492,37.506,248
3,-77.6492,37.506,366
4,-77.6492,37.506,435
5,-77.6492,37.506,508
6,-77.6492,37.506,621
7,-77.6492,37.506,647
0,-77.6661,38.6355,56
1,-77.6661,38.6355,317
2,-77.6661,38.6355,208
3,-77.6661,38.6355,41
4,-77.6661,38.6355,55
5,-77.6661,38.6355,85
6,-77.6661,38.6355,220
7,-77.6661,38.6355,216
0,-78.9061,38.6601,133
1,-78.9061,38.6601,125
2,-78.9061,38.6601,53
3,-78.9061,38.6601,45
4,-78.9061,38.6601,49
5,-78.9061,38.6601,46
6,-78.9061,38.6601,232
7,-78.9061,38.6601,134
0,-77.9882,37.3366,8
1,-77.9882,37.3366,6
2,-77.9882,37.3366,20
3,-77.9882,37.3366,29
4,-77.9882,37.3366,9
5,-77.9882,37.3366,3
6,-77.9882,37.3366,1
7,-77.9882,37.3366,9
0,-78.3908,36.666,15
1,-78.3908,36.666,31
2,-78.3908,36.666,29
3,-78.3908,36.666,33
4,-78.3908,36.666,59
5,-78.3908,36.666,68
6,-78.3908,36.666,110
7,-78.3908,36.666,93
0,-81.6382,36.666,134
1,-81.6382,36.666,134
2,-81.6382,36.666,113
3,-81.6382,36.666,124
4,-81.6382,36.666,91
5,-81.6382,36.666,97
6,-81.6382,36.666,91
7,-81.6382,36.666,94
0,-81.192,36.8862,24
1,-81.192,36.8862,352
2,-81.192,36.8862,226
3,-81.192,36.8862,48
4,-81.192,36.8862,212
5,-81.192,36.8862,339
6,-81.192,36.8862,43
7,-81.192,36.8862,28
0,-77.9061,38.0068,67
1,-77.9061,38.0068,16
2,-77.9061,38.0068,16
3,-77.9061,38.0068,24
4,-77.9061,38.0068,24
5,-77.9061,38.0068,37
6,-77.9061,38.0068,33
7,-77.9061,38.0068,83
0,-78.3681,39.0551,211
1,-78.3681,39.0551,36
2,-78.3681,39.0551,238
3,-78.3681,39.0551,500
4,-78.3681,39.0551,46
5,-78.3681,39.0551,107
6,-78.3681,39.0551,194
7,-78.3681,39.0551,57
0,-81.5927,36.7929,132
1,-81.5927,36.7929,57
2,-81.5927,36.7929,66
3,-81.5927,36.7929,82
4,-81.5927,36.7929,62
5,-81.5927,36.7929,59
6,-81.5927,36.7929,73
7,-81.5927,36.7929,94
0,-76.6625,37.9501,192
1,-76.6625,37.9501,716
2,-76.6625,37.9501,104
3,-76.6625,37.9501,153
4,-76.6625,37.9501,306
5,-76.6625,37.9501,75
6,-76.6625,37.9501,50
